Min,Maximum range,Loonbelasting,,,,,,Min,Loonbelasting
0,5,0,,,,,,0,0
5,10,0.49,,,,,,5,0.49
10,15,0.98,,,,,,10,0.98
15,20,1.46,,,,,,15,1.46
20,25,1.95,,,,,,20,1.95
25,30,2.44,,,,,,25,2.44
30,35,2.93,,,,,,30,2.93
35,40,3.41,,,,,,35,3.41
40,45,3.9,,,,,,40,3.9
45,50,4.39,,,,,,45,4.39
50,55,4.88,,,,,,50,4.88
55,60,5.36,,,,,,55,5.36
60,65,5.85,,,,,,60,5.85
65,70,6.34,,,,,,65,6.34
70,75,6.83,,,,,,70,6.83
75,80,7.31,,,,,,75,7.31
80,85,7.8,,,,,,80,7.8
85,90,8.29,,,,,,85,8.29
90,95,8.78,,,,,,90,8.78
95,100,9.26,,,,,,95,9.26
100,105,9.75,,,,,,100,9.75
105,110,10.24,,,,,,105,10.24
110,115,10.73,,,,,,110,10.73
115,120,11.21,,,,,,115,11.21
120,125,11.7,,,,,,120,11.7
125,130,12.19,,,,,,125,12.19
130,135,12.68,,,,,,130,12.68
135,140,13.16,,,,,,135,13.16
140,145,13.65,,,,,,140,13.65
145,150,14.14,,,,,,145,14.14
150,155,14.63,,,,,,150,14.63
155,160,15.11,,,,,,155,15.11
160,165,15.6,,,,,,160,15.6
165,170,16.09,,,,,,165,16.09
170,175,16.58,,,,,,170,16.58
175,180,17.06,,,,,,175,17.06
180,185,17.55,,,,,,180,17.55
185,190,18.04,,,,,,185,18.04
190,195,18.53,,,,,,190,18.53
195,200,19.01,,,,,,195,19.01
200,205,19.5,,,,,,200,19.5
205,210,19.99,,,,,,205,19.99
210,215,20.48,,,,,,210,20.48
215,220,20.96,,,,,,215,20.96
220,225,21.45,,,,,,220,21.45
225,230,21.94,,,,,,225,21.94
230,235,22.43,,,,,,230,22.43
235,240,22.91,,,,,,235,22.91
240,245,23.4,,,,,,240,23.4
245,250,23.89,,,,,,245,23.89
250,255,24.38,,,,,,250,24.38
255,260,24.86,,,,,,255,24.86
260,265,25.35,,,,,,260,25.35
265,270,25.84,,,,,,265,25.84
270,275,26.33,,,,,,270,26.33
275,280,26.81,,,,,,275,26.81
280,285,27.3,,,,,,280,27.3
285,290,27.79,,,,,,285,27.79
290,295,28.28,,,,,,290,28.28
295,300,28.76,,,,,,295,28.76
300,305,29.25,,,,,,300,29.25
305,310,29.74,,,,,,305,29.74
310,315,30.23,,,,,,310,30.23
315,320,30.71,,,,,,315,30.71
320,325,31.2,,,,,,320,31.2
325,330,31.69,,,,,,325,31.69
330,335,32.18,,,,,,330,32.18
335,340,32.66,,,,,,335,32.66
340,345,33.15,,,,,,340,33.15
345,350,33.64,,,,,,345,33.64
350,355,34.13,,,,,,350,34.13
355,360,34.61,,,,,,355,34.61
360,365,35.1,,,,,,360,35.1
365,370,35.59,,,,,,365,35.59
370,375,36.08,,,,,,370,36.08
375,380,36.56,,,,,,375,36.56
380,385,37.05,,,,,,380,37.05
385,390,37.54,,,,,,385,37.54
390,395,38.03,,,,,,390,38.03
395,400,38.51,,,,,,395,38.51
400,405,39,,,,,,400,39
405,410,39.49,,,,,,405,39.49
410,415,39.98,,,,,,410,39.98
415,420,40.46,,,,,,415,40.46
420,425,40.95,,,,,,420,40.95
425,430,41.44,,,,,,425,41.44
430,435,41.93,,,,,,430,41.93
435,440,42.41,,,,,,435,42.41
440,445,42.9,,,,,,440,42.9
